gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.0453 & 0.4847 & 0.0828 & 0.6004 & 0.9681 & 0.6048 & 0.7445 & 0.6004
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.0422 & 0.3067 & 0.0741 & 0.7148 & 0.9646 & 0.7306 & 0.8314 & 0.7148
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.0000 & 0.0000 & 0.0000 & 0.9301 & 0.9301 & 1.0000 & 0.9638 & 0.9301
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.0367 & 0.2761 & 0.0648 & 0.7034 & 0.9626 & 0.7199 & 0.8237 & 0.7034
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.0422 & 0.3067 & 0.0741 & 0.7148 & 0.9646 & 0.7306 & 0.8314 & 0.7148
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5609 & 0.9716 & 0.0483 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.7148 & 0.9646 & 0.0422 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5609 & 0.9716 & 0.0483 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4791 & 0.9722 & 0.0455 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6656 & 0.6421 & 0.6985 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6380 & 0.6108 & 0.6829 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6411 & 0.6533 & 0.6307 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6503 & 0.6172 & 0.7094 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6319 & 0.6000 & 0.6937 
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6104 & 0.5865 & 0.6525
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6350 & 0.6146 & 0.6642
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6472 & 0.6188 & 0.6935 # batch_size = 32 & lr = 0.0001 & dropout = 0.5 & es-patience=3
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6779 & 0.6408 & 0.7417 # batch_size = 32 & lr = 0.0001 & dropout = 0.5 & es-patience=5
gossipcop_glm_origin_CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6472 & 0.6091 & 0.7264 # batch_size = 32 & lr = 0.0001 & dropout = 0.5 & es-patience=6
