twitter _CLU17_lambdaClu0.20_lambdaTri0.60_mlp     |0.7088 & 0.6547 & 0.6807 & 0.6464 & 0.5755 & 0.6350 & 0.6038 & 0.6464
twitter _CLU33_lambdaClu0.20_lambdaTri0.60_mlp     |0.7815 & 0.7341 & 0.7570 & 0.7287 & 0.6667 & 0.7215 & 0.6930 & 0.7287
twitter _CLU33_lambdaClu0.20_lambdaTri0.60_mlp     |0.8376 & 0.6174 & 0.7108 & 0.7108 & 0.6174 & 0.8376 & 0.7108 & 0.7108
twitter _CLU33_lambdaClu0.20_lambdaTri0.60_mlp     |0.7518 & 0.6361 & 0.6891 & 0.6697 & 0.5916 & 0.7152 & 0.6476 & 0.6697
=================================== 以上结果均不没有达到论文报告的要求，考虑可能是环境不够一致导致的问题，因此重新配置环境再次运行========
twitter _CLU33_lambdaClu0.20_lambdaTri0.60_mlp     |0.7785 & 0.7760 & 0.7773 & 0.7440 & 0.6975 & 0.7004 & 0.6989 & 0.7440
twitter _CLU33_lambdaClu0.20_lambdaTri0.60_mlp     |0.7785 & 0.7760 & 0.7773 & 0.7440 & 0.6975 & 0.7004 & 0.6989 & 0.7440twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6447 & 0.4838 & 0.7743 
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4448 & 0.3784 & 0.4983 # bs = 16 & lr = 0.0005 & dropout = 0.5 & wd=1e-5 & es-patience=6
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4478 & 0.3930 & 0.4919 # bs = 16 & lr = 0.0001 & dropout = 0.5 & wd=1e-5 & es-patience=6
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5765 & 0.3684 & 0.7444 # bs = 16 & lr = 0.0001 & dropout = 0.5 & wd=5e-5 & es-patience=6
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6302 & 0.5172 & 0.7213 # bs = 16 & lr = 0.0001 & dropout = 0.5 & wd=1e-4 & es-patience=6

twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.5756 & 0.3682 & 0.7428 # bs = 16 & lr = 0.0001 & dropout = 0.6 & wd=1e-3 & es-patience=6

twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4665 & 0.3638 & 0.5493 # bs = 16 & lr = 0.0001 & dropout = 0.6 & wd=1e-3 & es-patience=10

twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.6561 & 0.8413 & 0.5068 # bs = 32 & lr = 0.0001 & dropout = 0.6 & wd=5e-3 & es-patience=6
twitter _CLU17_lambdaClu0.20_lambdaTri0.60_UNSPRTrue_MultiCLSTrue_AGGTrue_AVGFalse_mlp     |0.4059 & 0.5292 & 0.3064
